## -----------------------------------------------------------
## adapted from YF: ion_35mrad_IP2_15Mar2021.txt (downloaded on 3/29/21)
## https://gitlab.com/eic/escalate/g4e/-/blob/511b4f84c241abc4f2890c93807f0e12b72565fd/resources/ip8/mdi/ion_35mrad_IP2_15Mar2021.txt
## for 275 GeV protons
##
##   name    center_x center_y center_z rin(z-in) rin(z-out)  dout   length   angle      B      gradient
##             [m]      [m]      [m]      [m]        [m]      [m]      [m]   [mrad]     [T]      [T/m]
##
BXUS01	   0.40249228105   0	-17.73979064   0.04	      0.04	      0.14	     4.49991731158  24.5           -4.28073928333  0	        
QFFUS03	   0.5538411038	   0	-12.742191425  0.04	      0.04	      0.14	     4.5	    35             0	           55.5399548174   
QFFUS02	   0.7095593068	   0	-8.294916769   0.04	      0.04	      0.14	     1.4	    35             0	           -76.5683196946  
QFFUS01	   0.78304430145   0	-6.1962028875  0.04	      0.04	      0.14	     1.8	    35             0	           -103.781316558
BXSP01	   0.212107164182  0	6.09630912297  0.245          0.245           0.345	     1.19999819965  32             4.586506375	   0	        
QFFDS01A   0.293971641506  0	8.19433693239  0.07221959023  0.07221959023   0.14391610424  2	            12.49474076    0	           -63.69463009    
QFFDS01B   0.381598981638  0	10.7928313801  0.1011491432   0.1011491432    0.19389508072  2.2	    12.19768122    0	           -45.38115386    
QFFDS02A   0.461923965314  0	14.1929264756  0.1317485924   0.1317485924    0.2578681706   2.6	    41.17910685    0	           34.91498981     
QFFDS02B   0.57196333126   0	17.1908591166  0.1471982576   0.1471982576    0.3118	     2.4	    38.24899562    0	           30.5024461      
BXDS01A	   0.694646216848  0	20.3888521354  0.18	      0.18	      0.28	     2.9999718818   30.752237898   6.116332812	   0	        
BXDS01B	   0.895527214645  0	38.8883449938  0.045	      0.045	      0.145	     2.99997188178  21.5           -5.293916241	   0	        
QDS01	   0.9668311837	   0	41.63739821    0.04	      0.04	      0.14	     1.5            29             0	           0.004304254037  
